id,identifier,generation_id,evolves_from_species_id,evolution_chain_id
10091,rattata-alola,7,,7
10092,raticate-alola,7,10091,7
10100,raichu-alola,7,25,10
10101,sandshrew-alola,7,,11
10102,sandslash-alola,7,10101,11
10103,vulpix-alola,7,,15
10104,ninetales-alola,7,10103,15
10105,diglett-alola,7,,21
10106,dugtrio-alola,7,10105,21
10107,meowth-alola,7,,22
10108,persian-alola,7,10107,22
10109,geodude-alola,7,,31
10110,graveler-alola,7,10109,31
10111,golem-alola,7,10110,31
10112,grimer-alola,7,,38
10113,muk-alola,7,10112,38
10114,exeggutor-alola,7,102,45
10115,marowak-alola,7,104,46
10158,meowth-galar,8,,22
10159,ponyta-galar,8,,32
10160,rapidash-galar,8,10159,32
10161,slowpoke-galar,8,,33
10162,slowbro-galar,8,10161,33
10163,farfetchd-galar,8,,35
10164,weezing-galar,8,109,49
10165,mr-mime-galar,8,439,57
10166,articuno-galar,8,,73
10167,zapdos-galar,8,,74
10168,moltres-galar,8,,75
10169,slowking-galar,8,10161,33
10170,corsola-galar,8,,113
10171,zigzagoon-galar,8,,134
10172,linoone-galar,8,10171,134
10173,darumaka-galar,8,,282
10174,darmanitan-galar,8,10173,282
10176,yamask-galar,8,,287
10177,stunfisk-galar,8,,313